Date,Close
2024-09-04,457.4945373535156
2024-09-05,457.9216613769531
2024-09-06,445.6551818847656
2024-09-09,451.38616943359375
2024-09-10,455.5577697753906
2024-09-11,465.45037841796875
2024-09-12,470.019287109375
2024-09-13,472.1249084472656
2024-09-16,470.03912353515625
2024-09-17,470.2874450683594
2024-09-18,468.2513122558594
2024-09-19,480.0906677246094
2024-09-20,479.17694091796875
2024-09-23,480.44708251953125
2024-09-24,482.7645568847656
2024-09-25,483.2121276855469
2024-09-26,486.8425598144531
2024-09-27,484.1371154785156
2024-09-30,485.4500732421875
2024-10-01,478.68658447265625
2024-10-02,479.3629455566406
2024-10-03,479.0048522949219
2024-10-04,484.7041015625
2024-10-07,479.5120849609375
2024-10-08,486.67340087890625
2024-10-09,490.5027770996094
2024-10-10,489.94580078125
2024-10-11,490.7116394042969
2024-10-14,494.8294372558594
2024-10-15,488.2151184082031
2024-10-16,488.2748107910156
2024-10-17,488.6130065917969
2024-10-18,491.815673828125
2024-10-21,492.7605895996094
2024-10-22,493.2977294921875
2024-10-23,485.7384948730469
2024-10-24,489.67724609375
2024-10-25,492.6611328125
2024-10-28,492.7406921386719
2024-10-29,497.47515869140625
2024-10-30,493.7154235839844
2024-10-31,481.2527160644531
2024-11-01,484.8134765625
2024-11-04,483.4010925292969
2024-11-05,489.56781005859375
2024-11-06,502.8660583496094
2024-11-07,510.7833251953125
2024-11-08,511.3801574707031
2024-11-11,511.081787109375
2024-11-12,510.1567077636719
2024-11-13,509.5002746582031
2024-11-14,505.9593811035156
2024-11-15,493.9044189453125
2024-11-18,497.33587646484375
2024-11-19,500.7574157714844
2024-11-20,500.4690246582031
2024-11-21,502.269287109375
2024-11-22,503.074951171875
2024-11-25,503.8706359863281
2024-11-26,506.5760498046875
2024-11-27,502.5875549316406
2024-11-29,507.00372314453125
2024-12-02,512.52392578125
2024-12-03,514.095458984375
2024-12-04,520.451171875
2024-12-05,519.0089111328125
2024-12-06,523.6538696289062
2024-12-09,519.575927734375
2024-12-10,517.805419921875
2024-12-11,527.0753784179688
2024-12-12,523.6737670898438
2024-12-13,527.68212890625
2024-12-16,535.2811279296875
2024-12-17,532.923828125
2024-12-18,513.697509765625
2024-12-19,511.40997314453125
2024-12-20,515.8758544921875
2024-12-23,520.90185546875
2024-12-24,527.9651489257812
2024-12-26,527.6065063476562
2024-12-27,520.5929565429688
2024-12-30,513.669189453125
2024-12-31,509.3056640625
2025-01-02,508.3094482421875
2025-01-03,516.6280517578125
2025-01-06,522.5655517578125
2025-01-07,513.2407836914062
2025-01-08,513.3304443359375
2025-01-10,505.2808837890625
2025-01-13,503.6570129394531
2025-01-14,503.1788024902344
2025-01-15,514.7550659179688
2025-01-16,511.14874267578125
2025-01-17,519.7760620117188
2025-01-21,522.8245849609375
2025-01-22,529.5093994140625
2025-01-23,530.6350708007812
2025-01-24,527.6363525390625
2025-01-27,512.2745361328125
2025-01-28,519.8458251953125
2025-01-29,518.8695678710938
2025-01-30,521.0811157226562
2025-01-31,520.323974609375
2025-02-03,516.1597900390625
2025-02-04,522.4957885742188
2025-02-05,524.8668823242188
2025-02-06,527.6065063476562
2025-02-07,520.95166015625
2025-02-10,527.2578735351562
2025-02-11,526.0025634765625
2025-02-12,526.3114624023438
2025-02-13,533.8828125
2025-02-14,536.1243896484375
2025-02-18,537.3397216796875
2025-02-19,537.4892578125
2025-02-20,535.207763671875
2025-02-21,524.099853515625
2025-02-24,517.9131469726562
2025-02-25,511.3877868652344
2025-02-26,512.6231079101562
2025-02-27,498.38690185546875
2025-02-28,506.2572021484375
2025-03-03,495.1790466308594
2025-03-04,493.6846923828125
2025-03-05,500.120361328125
2025-03-06,486.3623962402344
2025-03-07,489.9388732910156
2025-03-10,470.95062255859375
2025-03-11,469.8248596191406
2025-03-12,475.1248474121094
2025-03-13,466.5771179199219
2025-03-14,477.8545227050781
2025-03-17,480.9527893066406
2025-03-18,472.7538146972656
2025-03-19,479.07989501953125
2025-03-20,477.4560546875
2025-03-21,479.0300598144531
2025-03-24,489.54205322265625
2025-03-25,492.3356628417969
2025-03-26,483.2763671875
2025-03-27,480.52264404296875
2025-03-28,467.8715515136719
2025-03-31,467.85162353515625
2025-04-01,471.62298583984375
2025-04-02,475.06512451171875
2025-04-03,449.6332092285156
2025-04-04,421.70697021484375
2025-04-07,422.7246398925781
2025-04-08,415.1120300292969
2025-04-09,464.938232421875
2025-04-10,445.16339111328125
2025-04-11,453.3646545410156
2025-04-14,456.4376525878906
2025-04-15,456.94647216796875
2025-04-16,443.1679382324219
2025-04-17,443.088134765625
2025-04-21,432.1231689453125
2025-04-22,443.46728515625
2025-04-23,453.5242919921875
2025-04-24,466.28515625
2025-04-25,471.4833068847656
2025-04-28,471.3336181640625
2025-04-29,474.446533203125
2025-04-30,474.38665771484375
2025-05-01,480.58251953125
2025-05-02,487.7162170410156
2025-05-05,484.82281494140625
2025-05-06,480.3131103515625
2025-05-07,482.1988220214844
2025-05-08,487.1774597167969
2025-05-09,486.8581848144531
2025-05-12,506.6929016113281
2025-05-13,514.415283203125
2025-05-14,517.4982299804688
2025-05-15,518.06689453125
2025-05-16,520.32177734375
2025-05-19,520.8206787109375
2025-05-20,519.0845947265625
2025-05-21,511.8710021972656
2025-05-22,512.828857421875
2025-05-23,508.0796813964844
2025-05-27,520.0324096679688
2025-05-28,517.7276000976562
2025-05-29,518.745361328125
2025-05-30,517.92724609375
2025-06-02,522.0178833007812
2025-06-03,526.0985107421875
2025-06-04,527.5652465820312
2025-06-05,523.59423828125
2025-06-06,528.7125854492188
2025-06-09,529.4908447265625
2025-06-10,532.9928588867188
2025-06-11,531.1968994140625
2025-06-12,532.4440307617188
2025-06-13,525.7593994140625
2025-06-16,533.0726318359375
2025-06-17,527.8745727539062
2025-06-18,527.78466796875
2025-06-20,525.629638671875
2025-06-23,531.034423828125
2025-06-24,539.1549682617188
2025-06-25,540.5333251953125
2025-06-26,545.5874633789062
2025-06-27,547.4553833007812
2025-06-30,551.001220703125
2025-07-01,546.3566284179688
2025-07-02,550.1621704101562
2025-07-03,555.575927734375
2025-07-07,551.3908081054688
2025-07-08,551.700439453125
2025-07-09,555.6058959960938
2025-07-10,554.8068237304688
2025-07-11,553.5582885742188
2025-07-14,555.5659790039062
2025-07-15,556.0753173828125
2025-07-16,556.6446533203125
2025-07-17,561.1494750976562
2025-07-18,560.610107421875
2025-07-21,563.5167236328125
2025-07-22,560.60009765625
2025-07-23,563.1571655273438
2025-07-24,564.3557739257812
2025-07-25,565.7141723632812
2025-07-28,567.4821166992188
2025-07-29,566.6031494140625
2025-07-30,567.3623046875
2025-07-31,564.3557739257812
2025-08-01,553.2386474609375
2025-08-04,563.44677734375
2025-08-05,559.6212768554688
2025-08-06,566.6630859375
2025-08-07,568.5808715820312
2025-08-08,573.8847045898438
2025-08-11,572.1866455078125
2025-08-12,579.3782958984375
2025-08-13,579.6680297851562
2025-08-14,579.2185668945312
2025-08-15,576.6715087890625
2025-08-18,576.4417114257812
2025-08-19,568.620849609375
2025-08-20,565.2447509765625
2025-08-21,562.6278076171875
2025-08-22,571.3076782226562
2025-08-25,569.6596069335938
2025-08-26,571.9469604492188
2025-08-27,572.825927734375
2025-08-28,576.4118041992188
2025-08-29,569.7395629882812
2025-09-02,564.9650268554688
2025-09-03,569.409912109375
2025-09-04,574.5639038085938
2025-09-05,575.3929443359375
2025-09-08,578.19970703125
2025-09-09,579.8378295898438
2025-09-10,580.027587890625
2025-09-11,583.4036865234375
2025-09-12,585.9806518554688
2025-09-15,590.994873046875
2025-09-16,590.4954223632812
2025-09-17,589.3168334960938
2025-09-18,594.6306762695312
2025-09-19,598.6559448242188
2025-09-22,602.2000122070312
2025-09-23,598.2000122070312
2025-09-24,596.0999755859375
2025-09-25,593.530029296875
2025-09-26,595.969970703125
2025-09-29,598.72998046875
2025-09-30,600.3699951171875
2025-10-01,603.25
2025-10-02,605.72998046875
2025-10-03,603.1799926757812
2025-10-06,607.7100219726562
2025-10-07,604.510009765625
2025-10-08,611.4400024414062
2025-10-09,610.7000122070312
2025-10-10,589.5
2025-10-13,602.010009765625
2025-10-14,598.0
2025-10-15,602.219970703125
2025-10-16,599.989990234375
2025-10-17,603.9299926757812
2025-10-20,611.5399780273438
2025-10-21,611.3800048828125
2025-10-22,605.489990234375
2025-10-23,610.5800170898438
2025-10-24,617.0999755859375
2025-10-27,628.0900268554688
2025-10-28,632.9199829101562
2025-10-29,635.77001953125
2025-10-30,626.0499877929688
2025-10-31,629.0700073242188
2025-11-03,632.0800170898438
2025-11-04,619.25
2025-11-05,623.280029296875
2025-11-06,611.6699829101562
2025-11-07,609.739990234375
2025-11-10,623.22998046875
2025-11-11,621.5700073242188
2025-11-12,621.0800170898438
2025-11-13,608.4000244140625
2025-11-14,608.8599853515625
2025-11-17,603.6599731445312
2025-11-18,596.3099975585938
2025-11-19,599.8699951171875
2025-11-20,585.6699829101562
2025-11-21,590.0700073242188
2025-11-24,605.1599731445312
2025-11-25,608.8900146484375
2025-11-26,614.27001953125
2025-11-28,619.25
2025-12-01,617.1699829101562
2025-12-02,622.0
2025-12-03,623.52001953125
2025-12-04,622.9400024414062
2025-12-05,625.47998046875
